ID	module	replace	replace with
835	4-dict	would you like	would you xlike
836	4-dict	act* like	act xlike
837	4-dict	anything like	anything xlike
838	4-dict	it is like	it is xlike
839	4-dict	like it is	xlike it is
840	4-dict	like it was	xlike it was
841	4-dict	like* it or not	xlike it or not
842	4-dict	look* like	look xlike
843	4-dict	seem* like	seem xlike
844	4-dict	be like	be xlike
845	4-dict	being like	being xlike
846	4-dict	feel* like	feel xlike
847	4-dict	felt like	felt xlike
848	4-dict	200 mile limit*	200 mile xlimit
849	4-dict	age limit*	age xlimit
850	4-dict	legal limit*	legal xlimit
851	4-dict	offshore limit*	offshore xlimit
852	4-dict	speed limit*	speed xlimit
853	4-dict	tax limit*	tax xlimit
854	4-dict	los* a	lose a x
855	4-dict	los* an	lose an x
856	4-dict	los* its	lose its x
857	4-dict	los* of self	lose ofself x
858	4-dict	los* of	lose of x
859	4-dict	los* the	lose the x
860	4-dict	los* their	lose their x
861	4-dict	los* your	lose your x
862	4-dict	los* weight	xlose weight
863	4-dict	never los* hope	never xlose hope
864	4-dict	not los* hope	not xlose hope
865	4-dict	job loss*	job xloss
866	4-dict	weight loss	weight xloss
867	4-dict	los* [anynumber] pounds	xlost [samenumber] pounds
868	4-dict	los* love*	lose xlove
869	4-dict	low* point*	low point
870	4-dict	low* rank*	low rank
871	4-dict	low* regard	low regard
872	4-dict	low* expectation*	low expectation
873	4-dict	mad cow	xmad cow
874	4-dict	miss* an opportunity	xmiss an opportunity
875	4-dict	miss* the opportunity	xmiss the opportunity
876	4-dict	mitigate [anyword] risk*	mitigate xrisk
877	4-dict	mitigate risk*	mitigate xrisk
878	4-dict	mud brick*	xmud brick
879	4-dict	mud wall*	xmud wall
880	4-dict	mud wrestl*	xmud wrestling
881	4-dict	natural disaster*	xnatural disaster
882	4-dict	HIV negative	HIV xnegative
883	4-dict	negative HIV	xnegative HIV
884	4-dict	negative test*	xnegative test
885	4-dict	test* negative	test xnegative
886	4-dict	[anynumber] odd	# xodd
887	4-dict	open market*	xopen market
888	4-dict	declin* an opportunity	decline an xopportunity
889	4-dict	declin* the opportunity	decline the xopportunity
890	4-dict	den* an opportunity	deny an xopportunity
891	4-dict	den* the opportunity	deny the xopportunity
892	4-dict	los* opportunit*	lose xopportunity
893	4-dict	miss* opportunit*	miss xopportunity
894	4-dict	photo opportunit*	photo xopportunity
895	4-dict	seize* the opportunity	seize the xopportunity
896	4-dict	squander* an opportunit*	squander an xopportunity
897	4-dict	window* of opportunit*	window of xopportunity
898	4-dict	in opposition	in xopposition
899	4-dict	leader of the opposition	leader of the xopposition
900	4-dict	official opposition	official xopposition
901	4-dict	opposition bench*	xopposition bench
902	4-dict	opposition leader*	xopposition leader
903	4-dict	opposition member*	xopposition member
904	4-dict	opposition MP*	xopposition MP
905	4-dict	opposition part*	xopposition party
906	4-dict	opposition politician*	xopposition politician
907	4-dict	the opposition*	the xopposition
908	4-dict	over price*	overprice
909	4-dict	conjugal partner*	conjugal xpartner
910	4-dict	corporate partner*	corporate xpartner
911	4-dict	ex partner*	ex xpartner
912	4-dict	industry partner*	industry xpartner
913	4-dict	intimate partner*	xintimate xpartner
914	4-dict	managing partner*	managing xpartner
915	4-dict	n_afta partner*	nafta xpartner
916	4-dict	partner* organization*	xpartner organization
917	4-dict	sector partner*	sector xpartner
918	4-dict	senior partner*	senior xpartner
919	4-dict	sex* partner*	sex xpartner
920	4-dict	shipping partner*	shipping xpartner
921	4-dict	tax partner*	tax xpartner
922	4-dict	trading partner*	trading xpartner
923	4-dict	ex pat*	ex xpat
924	4-dict	patch* up	patch up
925	4-dict	play* down	play down
926	4-dict	playoff game*	xplayoff game
927	4-dict	play* games	play games
928	4-dict	play* god	play god
929	4-dict	play* it cool	play it cool
930	4-dict	play* politics	play politics
931	4-dict	false positive*	false xpositive
932	4-dict	HIV positive	HIV xpositive
933	4-dict	positive HIV	xpositive HIV
934	4-dict	positive test*	xpositive test
935	4-dict	test* positive	test xpositive
936	4-dict	positive* identif*	xpositive identif
937	4-dict	over powerful	overpowerful
938	4-dict	prison guard*	xprison guard
939	4-dict	prison official*	xprison official
940	4-dict	prison system*	xprison system
941	4-dict	problem* solv*	problem solve
942	4-dict	los* productivity	lose xproductivity
943	4-dict	in progress	in xprogress
944	4-dict	progressive disorder	xprogressive disorder
945	4-dict	protestant*	xprotestant
946	4-dict	air quality	air xquality
947	4-dict	fuel quality	fuel xquality
948	4-dict	poor quality	poor xquality
949	4-dict	quality of life	xquality of life
950	4-dict	water quality	water xquality
951	4-dict	reasonable accommodation	xreasonable xaccommodation
952	4-dict	reasonable doubt	xreasonable xdoubt
953	4-dict	refus* to	refuse to x
954	4-dict	tax relief	tax xrelief
955	4-dict	human resourc*	human xresource
956	4-dict	resource* minister	xresource minister
957	4-dict	in many respects	in many xrespects
958	4-dict	in respect of	in xrespect of
959	4-dict	in some respects	in some xrespects
960	4-dict	in that respect	in that xrespect
961	4-dict	in this respect	in this xrespect
962	4-dict	with respect to	with xrespect to
963	4-dict	claim* of responsib*	claim of xresponsibility
964	4-dict	claim* responsib*	claim xresponsibility
965	4-dict	conflicting responsib*	conflicting xresponsibility
966	4-dict	criminal* responsib*	xcriminal xresponsibility
967	4-dict	den* responsib*	deny xresponsibility
968	4-dict	federal responsib*	federal xresponsibility
969	4-dict	ministerial responsib*	ministerial xresponsibility
970	4-dict	provincial responsib*	provincial xresponsibility
971	4-dict	responsib* for	xresponsible for
972	4-dict	shift* responsib*	shift xresponsibility
973	4-dict	take over responsib*	take over xresponsibility
974	4-dict	out right	outright
975	4-dict	right hand*	xright hand
976	4-dict	rights abus*	xrights abuse
977	4-dict	rights complaint*	xrights complaint
978	4-dict	rights record*	xrights record
979	4-dict	rights violat*	xrights violation
980	4-dict	safety board*	xsafety board
981	4-dict	safety inspection*	xsafety inspection
982	4-dict	safety minister*	xsafety minister
983	4-dict	for scrap	for xscrap
984	4-dict	of scrap	of xscrap
985	4-dict	scrap metal	xscrap metal
986	4-dict	scrap of	xscrap of
987	4-dict	scrap tire*	xscrap tire
988	4-dict	scrap yard*	xscrap yard
989	4-dict	food scraps	food xscraps
990	4-dict	table scraps	table xscraps
991	4-dict	vegetable scraps	vegetable xscraps
992	4-dict	unlikely to secure	unlikely to xsecure
993	4-dict	seiz* the day	seize the day
994	4-dict	a sense	a xsense
995	4-dict	could sense	could xsense
996	4-dict	every sense	every xsense
997	4-dict	my sense	my xsense
998	4-dict	not sense	not xsense
999	4-dict	one sense	one xsense
1000	4-dict	sense of	xsense of
1001	4-dict	sense that	xsense that
1002	4-dict	that sense	that xsense
1003	4-dict	this sense	this xsense
1004	4-dict	hyper sensitiv*	hypersensitive
1005	4-dict	time sensitiv*	time xsensitiv
1006	4-dict	shak* hands*	xshake hands
1007	4-dict	shake* of hands	xshake hands
1008	4-dict	sheltered life	xsheltered life
1009	4-dict	a shield*	a xshield
1010	4-dict	defence shield*	defence xshield
1011	4-dict	defense shield*	defense xshield
1012	4-dict	european shield*	european xshield
1013	4-dict	missile shield*	missile xshield
1014	4-dict	security shield*	security xshield
1015	4-dict	shield interceptor*	xshield interceptor
1016	4-dict	shield's	xshield's
1017	4-dict	sigh of relief	xsigh of relief
1018	4-dict	a significant*	a xsignificant
1019	4-dict	significant risk	xsignificant risk
1020	4-dict	a sink	a xsink
1021	4-dict	bathroom sink	bathroom xsink
1022	4-dict	floor and sink	floor and xsink
1023	4-dict	kitchen sink	kitchen xsink
1024	4-dict	the sink	the xsink
1025	4-dict	of sinks	of xsinks
1026	4-dict	sky ' s the limit	sky is the limit
1027	4-dict	grand slam*	grand xslam
1028	4-dict	slam dunk	xslam dunk
1029	4-dict	slamdance*	xslamdance
1030	4-dict	slammer*	xslammer
1031	4-dict	slip* up	slip up
1032	4-dict	special education*	xspecial education
1033	4-dict	special interest*	xspecial interest
1034	4-dict	special investigat*	xspecial investigation
1035	4-dict	special needs	xspecial needs
1036	4-dict	special operations	xspecial operations
1037	4-dict	special police	xspecial police
1038	4-dict	special prosecutor*	xspecial prosecutor
1039	4-dict	special unit*	xspecial unit
1040	4-dict	special victim* unit	xspecial xvictim unit
1041	4-dict	special* force*	xspecial force
1042	4-dict	christian spirit*	christian xspirit
1043	4-dict	divine spirit*	divine xspirit
1044	4-dict	beer or spirit*	beer or xspirits
1045	4-dict	from spirits	from xspirits
1046	4-dict	ounc* of spirits	ounce of xspirits
1047	4-dict	wine and spirits	wine and xspirits
1048	4-dict	stick* by	stick by
1049	4-dict	stick* it out	stick it out
1050	4-dict	stick* to it	stick to it
1051	4-dict	stick* up for	stick up for
1052	4-dict	stick* with	stick with
1053	4-dict	stiff upper	xstiff upper
1054	4-dict	[anynumber] strain*	# xstrain
1055	4-dict	flu strain*	flu xstrain
1056	4-dict	human strain*	human xstrain
1057	4-dict	lethal strain	lethal xstrain
1058	4-dict	strain* of	xstrain of
1059	4-dict	superbug strain*	superbug xstrain
1060	4-dict	viral strain*	viral xstrain
1061	4-dict	stress* that	xstress that
1062	4-dict	stress* the	xstress the
1063	4-dict	stress* there	xstress there
1064	4-dict	stress* they	xstress they
1065	4-dict	to stress	to xstress
1066	4-dict	stumb* upon	xstumble upon
1067	4-dict	a superior	a xsuperior
1068	4-dict	superior authorit*	xsuperior authority
1069	4-dict	superior court*	xsuperior court
1070	4-dict	superior design	xsuperior design
1071	4-dict	% support*	% xsupport
1072	4-dict	[anynumber] in support	# in xsupport
1073	4-dict	[anynumber] support	# xsupport
1074	4-dict	air support	air xsupport
1075	4-dict	child support	child xsupport
1076	4-dict	diminish* support	diminish xsupport
1077	4-dict	do you support	do you xsupport
1078	4-dict	income support	income xsupport
1079	4-dict	life support	life xsupport
1080	4-dict	los* support	lose xsupport
1081	4-dict	material support	material xsupport
1082	4-dict	party* support	party xsupport
1083	4-dict	percent support*	percent xsupport
1084	4-dict	public support	public xsupport
1085	4-dict	spousal support	spousal xsupport
1086	4-dict	support agency*	xsupport agency
1087	4-dict	support erod*	xsupport eroding
1088	4-dict	support has	xsupport
1089	4-dict	support in the polls	xsupport
1090	4-dict	support is	xsupport
1091	4-dict	support may be	xsupport
1092	4-dict	support of [anynumber]	xsupport of #
1093	4-dict	support of at least	xsupport of at least
1094	4-dict	support of only	xsupport of only
1095	4-dict	support of terror*	xsupport of terror
1096	4-dict	support payment*	xsupport payment
1097	4-dict	support program	xsupport program
1098	4-dict	support staff	xsupport staff
1099	4-dict	support troop*	xsupport troops
1100	4-dict	support* appear*	xsupport appears
1101	4-dict	support* at [anynumber]	xsupport at #
1102	4-dict	support* either	xsupport either
1103	4-dict	support* terror*	xsupport terror
1104	4-dict	terror* support	terror xsupport
1105	4-dict	undermine support	undermine xsupport
1106	4-dict	who to support	who to xsupport
1107	4-dict	supporting actor	xsupporting actor
1108	4-dict	supporting actress	xsupporting actress
1109	4-dict	supporting document*	xsupporting document
1110	4-dict	survival of the fittest	xsurvival of the fittest
1111	4-dict	survival rate*	xsurvival rate
1112	4-dict	survived by	xsurvived by
1113	4-dict	swear* an	xswear an
1114	4-dict	swear* in	xswear in
1115	4-dict	swear* that	xswear that
1116	4-dict	swear* they	xswear they
1117	4-dict	tamper proof	xtamper proof
1118	4-dict	tears of happiness	xtears of happiness
1119	4-dict	tears of joy	xtears of joy
1120	4-dict	tears of relief	xtears of relief
1121	4-dict	tears of thanks	xtears of thanks
1122	4-dict	for tender	for xtender
1123	4-dict	original tender	original xtender
1124	4-dict	pre tender	pre xtender
1125	4-dict	public tender	public xtender
1126	4-dict	tender estimat*	xtender estimate
1127	4-dict	tender* by	xtender by
1128	4-dict	tender* for	xtender for
1129	4-dict	tender* it	xtender it
1130	4-dict	tender* process	xtender process
1131	4-dict	tender* projection*	xtender projection
1132	4-dict	tender* to	xtender to
1133	4-dict	the tender*	the xtender
1134	4-dict	to tender	to xtender
1135	4-dict	up to tender	up to xtender
1136	4-dict	was tender*	was xtender
1137	4-dict	will tender	will xtender
1138	4-dict	toilet*	xtoilet
1139	4-dict	he too	he xtoo
1140	4-dict	she too	she xtoo
1141	4-dict	so too	so xtoo
1142	4-dict	them too	them xtoo
1143	4-dict	this too	this xtoo
1144	4-dict	too are	xtoo are
1145	4-dict	too as	xtoo as
1146	4-dict	too because	xtoo because
1147	4-dict	too can	xtoo can
1148	4-dict	too have	xtoo have
1149	4-dict	too if	xtoo if
1150	4-dict	too is	xtoo is
1151	4-dict	too that	xtoo that
1152	4-dict	too the	xtoo the
1153	4-dict	too there	xtoo there
1154	4-dict	too they	xtoo they
1155	4-dict	too was	xtoo was
1156	4-dict	too when	xtoo when
1157	4-dict	too will	xtoo will
1158	4-dict	too with	xtoo with
1159	4-dict	too would	xtoo would
1160	4-dict	too	too x
1161	4-dict	too close to call	xtoo close to call
1162	4-dict	too good	xtoo good
1163	4-dict	too happy	xtoo happy
1164	4-dict	too helpful	xtoo helpful
1165	4-dict	too important	xtoo important
1166	4-dict	too nice	xtoo nice
1167	4-dict	too positive	xtoo positive
1168	4-dict	toxico*	xtoxicology
1169	4-dict	abus* of trust	abuse of xtrust
1170	4-dict	betrayal of trust	betrayal of xtrust
1171	4-dict	breach of trust	breach of xtrust
1172	4-dict	income trust*	income xtrust
1173	4-dict	trust fund*	xtrust fund
1174	4-dict	unable to	unable to x
1175	4-dict	canad* unity	canadian xunity
1176	4-dict	national unity	national xunity
1177	4-dict	upside down	xupside down
1178	4-dict	vice chair*	xvice chair
1179	4-dict	vice chancellor*	xvice chancellor
1180	4-dict	vice chief*	xvice chief
1181	4-dict	vice consul*	xvice consul
1182	4-dict	vice premier*	xvice premier
1183	4-dict	vice president*	xvice president
1184	4-dict	vice principal*	xvice principal
1185	4-dict	vice regal*	xvice regal
1186	4-dict	vice versa	xvice versa
1187	4-dict	night vision	night xvision
1188	4-dict	peripheral vision	peripheral xvision
1189	4-dict	vital sign*	xvital sign
1190	4-dict	walk* on air	walk on air
1191	4-dict	climate warm*	climate xwarming
1192	4-dict	global warm*	global xwarming
1193	4-dict	warm* climate*	xwarming climate
1194	4-dict	solid waste*	solid xwaste
1195	4-dict	waste disposal	xwaste disposal
1196	4-dict	waste facilit*	xwaste facility
1197	4-dict	waste management*	xwaste management
1198	4-dict	pretty well	pretty xwell
1199	4-dict	could well	could xwell
1200	4-dict	damn well	damn xwell
1201	4-dict	deep well	deep xwell
1202	4-dict	do well	do xwell
1203	4-dict	fall* well	fall xwell
1204	4-dict	full well	full xwell
1205	4-dict	how well	how xwell
1206	4-dict	knew very well	knew very xwell
1207	4-dict	knew well	knew xwell
1208	4-dict	know* very well	know very xwell
1209	4-dict	know* well	know xwell
1210	4-dict	may very well	may very xwell
1211	4-dict	may well	may xwell
1212	4-dict	might very well	might very xwell
1213	4-dict	might well	might xwell
1214	4-dict	per well	per xwell
1215	4-dict	said well	said xwell
1216	4-dict	surface well	surface xwell
1217	4-dict	tears well*	tears xwell
1218	4-dict	the well	the xwell
1219	4-dict	well above*	xwell above
1220	4-dict	well advised	xwell advised
1221	4-dict	well after	xwell after
1222	4-dict	well ahead	xwell ahead
1223	4-dict	well apart	xwell apart
1224	4-dict	well armed	xwell armed
1225	4-dict	well aware	xwell aware
1226	4-dict	well away	xwell away
1227	4-dict	well back	xwell back
1228	4-dict	well be	xwell be
1229	4-dict	well before	xwell before
1230	4-dict	well behind	xwell behind
1231	4-dict	well below	xwell below
1232	4-dict	well beyond	xwell beyond
1233	4-dict	well end up	xwell end up
1234	4-dict	well have	xwell have
1235	4-dict	well hidden	xwell hidden
1236	4-dict	well how	xwell how
1237	4-dict	well if	xwell if
1238	4-dict	well in	xwell in
1239	4-dict	well into	xwell into
1240	4-dict	well kept	xwell kept
1241	4-dict	well know*	xwell know
1242	4-dict	well out	xwell out
1243	4-dict	well over	xwell over
1244	4-dict	well past	xwell past
1245	4-dict	well short	xwell short
1246	4-dict	well so	xwell so
1247	4-dict	well then	xwell then
1248	4-dict	well under	xwell under
1249	4-dict	well water	xwell water
1250	4-dict	well yes	xwell yes
1251	4-dict	as well	as xwell
1252	4-dict	as xwell to do	as well to do
1253	4-dict	less xwell known	less well known
1254	4-dict	whack load	xwhack load
1255	4-dict	whack of	xwhack of
1256	4-dict	whack upside	xwhack upside
1257	4-dict	wild bird*	xwild bird
1258	4-dict	wild duck*	xwild duck
1259	4-dict	wild flower*	xwild flower
1260	4-dict	wild rapid*	xwild rapid
1261	4-dict	wild salmon*	xwild salmon
1262	4-dict	wipe* out	wipe out
1263	4-dict	dim wit	dim xwit
1264	4-dict	slow wit	slow xwit
1265	4-dict	[anynumber] worth	# xworth
1266	4-dict	worth [anynumber]	xworth #
1267	4-dict	billion* worth	billion xworth
1268	4-dict	dollars worth	dollars xworth
1269	4-dict	million* worth	million xworth
1270	4-dict	net worth	net xworth
1271	4-dict	worth a total	xworth a total
1272	4-dict	worth about	xworth about
1273	4-dict	worth an estimated	xworth an estimated
1274	4-dict	worth as much as	xworth as much as
1275	4-dict	worth less than	xworth less than
1276	4-dict	worth more than	xworth more than
1277	4-dict	worth up to	xworth up to
1278	4-dict	right* and wrong*	xright and xwrong
1279	4-dict	right* or wrong*	xright or xwrong
1280	4-dict	short term vision	short term xvision
1281	4-dict	over zealous*	overzealous
